file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroPositivoNegativo.java,Code.Java.Abacus.v1.Rare.NumeroPositivoNegativo,main/1[java.lang.String[]],false,4,0,0,0,0,3,1,12,0,1,1,1,0,0,0,0,0,0,3,3,1,2,1,0,0,0,4,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/Moda.java,Code.Java.Abacus.v1.Rare.Moda,main/1[java.lang.String[]],false,4,1,0,0,0,5,1,16,0,6,1,1,0,0,2,1,0,0,1,13,8,1,3,0,0,0,9,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/CalculoIVA.java,Code.Java.Abacus.v1.Rare.CalculoIVA,main/1[java.lang.String[]],false,4,0,0,0,0,1,1,6,0,3,1,1,0,0,0,0,0,1,1,3,3,3,0,0,0,0,9,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/FuncionSeno.java,Code.Java.Abacus.v1.Rare.FuncionSeno,main/1[java.lang.String[]],false,4,0,0,0,0,1,3,6,0,3,1,3,0,0,0,0,0,0,2,1,3,1,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/CaidaLibre.java,Code.Java.Abacus.v1.Rare.CaidaLibre,main/1[java.lang.String[]],false,4,0,0,0,0,1,1,6,0,3,1,1,0,0,0,0,0,0,2,3,3,2,0,0,0,0,5,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/InteresSimple.java,Code.Java.Abacus.v1.Rare.InteresSimple,main/1[java.lang.String[]],false,4,0,0,0,0,1,1,7,0,4,1,1,0,0,0,0,0,1,1,4,4,3,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroPerfecto.java,Code.Java.Abacus.v1.Rare.NumeroPerfecto,main/1[java.lang.String[]],false,4,0,0,0,0,4,1,8,0,3,1,1,0,0,1,2,0,1,2,4,4,2,2,0,0,0,7,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/LeyOhm.java,Code.Java.Abacus.v1.Rare.LeyOhm,main/1[java.lang.String[]],false,4,0,0,0,0,1,1,6,0,3,1,1,0,0,0,0,0,0,2,2,3,2,0,0,0,0,5,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/NumeroArmstrong.java,Code.Java.Abacus.v1.Rare.NumeroArmstrong,main/1[java.lang.String[]],false,4,0,0,0,0,3,1,11,0,4,1,1,0,0,1,2,0,1,2,5,6,3,1,0,0,0,8,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Rare/ConversionCelsiusFahrenheit.java,Code.Java.Abacus.v1.Rare.ConversionCelsiusFahrenheit,main/1[java.lang.String[]],false,4,0,0,0,0,1,1,5,0,2,1,1,0,0,0,0,0,1,2,4,2,4,0,0,0,0,4,9,0,false
