class_name,language,tool,version,category,param_class,method_name,benchmark_base,metric,Benchmark,Mode,Threads,Samples,Score,score_error,Unit
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,thrpt,1,100,3021.43311,9.457418,ops/ms
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,thrpt,1,100,138.308165,0.432962,MB/sec
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,thrpt,1,100,48.000229,1e-06,B/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,thrpt,1,100,57.0,,counts
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,thrpt,1,100,104.0,,ms
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,avgt,1,100,0.000328,0.0,ms/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,avgt,1,100,139.504316,0.187613,MB/sec
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,avgt,1,100,48.000227,1e-06,B/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,avgt,1,100,57.0,,counts
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,avgt,1,100,102.0,,ms
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,sample,1,22987234,0.00036,0.0,ms/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,sample,1,100,134.620571,0.231224,MB/sec
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,sample,1,100,48.001921,0.000393,B/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,sample,1,100,55.0,,counts
