clase,ejecucion,tiempo_ms,memoria_kb
NumeroArmstrong,76,80,57472
NumeroArmstrong,77,60,58372
NumeroArmstrong,78,80,57208
NumeroArmstrong,79,70,58104
NumeroArmstrong,80,80,57464
NumeroArmstrong,81,60,58480
NumeroArmstrong,82,70,58732
NumeroArmstrong,83,60,57712
NumeroArmstrong,84,80,57076
NumeroArmstrong,85,70,57336
NumeroArmstrong,86,70,58368
NumeroArmstrong,87,60,58104
NumeroArmstrong,88,80,57312
NumeroArmstrong,89,60,57464
NumeroArmstrong,90,70,58112
NumeroArmstrong,91,60,57720
NumeroArmstrong,92,70,58712
NumeroArmstrong,93,70,57972
NumeroArmstrong,94,70,58496
NumeroArmstrong,95,70,57176
NumeroArmstrong,96,70,57944
NumeroArmstrong,97,60,57720
NumeroArmstrong,98,70,58084
NumeroArmstrong,99,60,58200
NumeroArmstrong,100,80,57708
NumerosPrimos,1,60,53368
NumerosPrimos,2,70,55256
NumerosPrimos,3,50,53624
NumerosPrimos,4,70,54264
NumerosPrimos,5,50,56408
NumerosPrimos,6,50,55028
NumerosPrimos,7,70,53240
NumerosPrimos,8,60,55536
NumerosPrimos,9,70,56184
NumerosPrimos,10,50,53612
NumerosPrimos,11,70,55384
NumerosPrimos,12,60,55044
NumerosPrimos,13,70,53488
NumerosPrimos,14,60,53752
NumerosPrimos,15,70,55276
NumerosPrimos,16,50,56444
NumerosPrimos,17,70,56308
NumerosPrimos,18,50,55276
NumerosPrimos,19,70,54904
NumerosPrimos,20,60,55928
NumerosPrimos,21,70,56152
NumerosPrimos,22,60,56312
NumerosPrimos,23,70,40952
NumerosPrimos,24,70,56312
NumerosPrimos,25,70,56056
NumerosPrimos,26,60,55920
NumerosPrimos,27,70,54780
NumerosPrimos,28,50,53752
NumerosPrimos,29,70,54140
NumerosPrimos,30,60,55928
NumerosPrimos,31,70,53492
NumerosPrimos,32,50,53744
NumerosPrimos,33,60,55120
NumerosPrimos,34,60,55000
NumerosPrimos,35,70,56700
NumerosPrimos,36,50,55920
NumerosPrimos,37,80,56300
NumerosPrimos,38,60,55288
NumerosPrimos,39,70,55288
NumerosPrimos,40,50,53632
NumerosPrimos,41,50,53752
NumerosPrimos,42,50,53368
NumerosPrimos,43,70,55020
NumerosPrimos,44,60,56556
NumerosPrimos,45,70,55536
NumerosPrimos,46,50,53620
NumerosPrimos,47,50,40428
NumerosPrimos,48,70,40568
NumerosPrimos,49,50,53612
NumerosPrimos,50,70,55128
NumerosPrimos,51,60,56952
NumerosPrimos,52,70,55420
NumerosPrimos,53,60,55284
NumerosPrimos,54,80,55136
NumerosPrimos,55,80,53752
NumerosPrimos,56,70,53572
NumerosPrimos,57,60,53616
NumerosPrimos,58,60,53368
NumerosPrimos,59,50,53752
NumerosPrimos,60,70,53464
NumerosPrimos,61,50,53880
NumerosPrimos,62,70,56440
NumerosPrimos,63,60,56536
NumerosPrimos,64,70,53112
NumerosPrimos,65,50,56556
NumerosPrimos,66,70,53636
NumerosPrimos,67,50,54364
NumerosPrimos,68,70,54380
NumerosPrimos,69,50,53616
NumerosPrimos,70,60,53592
NumerosPrimos,71,70,56312
NumerosPrimos,72,50,53880
NumerosPrimos,73,70,56920
NumerosPrimos,74,50,54896
NumerosPrimos,75,70,53496
NumerosPrimos,76,50,53752
NumerosPrimos,77,80,54256
NumerosPrimos,78,60,56440
NumerosPrimos,79,70,54136
NumerosPrimos,80,60,53368
NumerosPrimos,81,70,53360
NumerosPrimos,82,60,56696
NumerosPrimos,83,80,56440
NumerosPrimos,84,60,54904
NumerosPrimos,85,60,53592
NumerosPrimos,86,50,53752
NumerosPrimos,87,70,54896
NumerosPrimos,88,60,54908
NumerosPrimos,89,50,55672
NumerosPrimos,90,70,54896
NumerosPrimos,91,60,54616
NumerosPrimos,92,70,56560
NumerosPrimos,93,50,53444
NumerosPrimos,94,60,53364
NumerosPrimos,95,50,53720
NumerosPrimos,96,60,53856
NumerosPrimos,97,60,54912
NumerosPrimos,98,50,53496
NumerosPrimos,99,60,53380
NumerosPrimos,100,50,56304
MultiplicacionNumeros,1,70,57816
MultiplicacionNumeros,2,60,58744
MultiplicacionNumeros,3,70,57688
MultiplicacionNumeros,4,60,57972
MultiplicacionNumeros,5,70,57848
MultiplicacionNumeros,6,70,58868
MultiplicacionNumeros,7,70,58744
MultiplicacionNumeros,8,60,58360
MultiplicacionNumeros,9,70,59128
MultiplicacionNumeros,10,60,58240
MultiplicacionNumeros,11,80,57860
MultiplicacionNumeros,12,60,57816
MultiplicacionNumeros,13,70,58096
MultiplicacionNumeros,14,60,58096
MultiplicacionNumeros,15,70,58104
MultiplicacionNumeros,16,60,57456
MultiplicacionNumeros,17,70,58100
MultiplicacionNumeros,18,70,57848
MultiplicacionNumeros,19,80,58872
MultiplicacionNumeros,20,60,57980
MultiplicacionNumeros,21,70,58488
MultiplicacionNumeros,22,80,57988
MultiplicacionNumeros,23,90,57968
MultiplicacionNumeros,24,60,58072
MultiplicacionNumeros,25,70,58096
MultiplicacionNumeros,26,60,58360
MultiplicacionNumeros,27,70,58324
MultiplicacionNumeros,28,70,58232
MultiplicacionNumeros,29,60,58092
MultiplicacionNumeros,30,70,58104
MultiplicacionNumeros,31,60,58096
MultiplicacionNumeros,32,80,58244
MultiplicacionNumeros,33,70,58488
MultiplicacionNumeros,34,80,58492
MultiplicacionNumeros,35,60,58868
MultiplicacionNumeros,36,80,58100
MultiplicacionNumeros,37,60,58360
MultiplicacionNumeros,38,80,58200
MultiplicacionNumeros,39,60,57592
MultiplicacionNumeros,40,70,58356
MultiplicacionNumeros,41,60,57836
MultiplicacionNumeros,42,80,58324
MultiplicacionNumeros,43,60,59248
MultiplicacionNumeros,44,80,57944
MultiplicacionNumeros,45,70,57464
MultiplicacionNumeros,46,70,58112
MultiplicacionNumeros,47,70,59000
MultiplicacionNumeros,48,70,59104
MultiplicacionNumeros,49,60,58092
MultiplicacionNumeros,50,80,59256
MultiplicacionNumeros,51,60,57968
MultiplicacionNumeros,52,80,58968
MultiplicacionNumeros,53,70,58616
MultiplicacionNumeros,54,80,57720
MultiplicacionNumeros,55,60,58116
MultiplicacionNumeros,56,70,58228
MultiplicacionNumeros,57,60,57796
MultiplicacionNumeros,58,70,57976
MultiplicacionNumeros,59,70,57720
MultiplicacionNumeros,60,70,58096
MultiplicacionNumeros,61,70,58872
MultiplicacionNumeros,62,90,58228
MultiplicacionNumeros,63,60,58328
MultiplicacionNumeros,64,70,57708
MultiplicacionNumeros,65,60,58220
MultiplicacionNumeros,66,70,57592
MultiplicacionNumeros,67,60,57816
MultiplicacionNumeros,68,80,58732
MultiplicacionNumeros,69,60,58072
MultiplicacionNumeros,70,70,58104
MultiplicacionNumeros,71,70,59256
MultiplicacionNumeros,72,80,58108
MultiplicacionNumeros,73,60,58456
MultiplicacionNumeros,74,70,57840
MultiplicacionNumeros,75,60,57824
MultiplicacionNumeros,76,90,58104
MultiplicacionNumeros,77,70,57708
MultiplicacionNumeros,78,90,58104
MultiplicacionNumeros,79,60,58232
MultiplicacionNumeros,80,70,58884
MultiplicacionNumeros,81,70,57592
MultiplicacionNumeros,82,70,58232
MultiplicacionNumeros,83,70,58616
MultiplicacionNumeros,84,70,58096
MultiplicacionNumeros,85,60,57688
MultiplicacionNumeros,86,70,58480
MultiplicacionNumeros,87,60,58200
MultiplicacionNumeros,88,60,57592
MultiplicacionNumeros,89,70,57968
MultiplicacionNumeros,90,70,58328
MultiplicacionNumeros,91,70,57964
MultiplicacionNumeros,92,60,58948
MultiplicacionNumeros,93,70,59008
MultiplicacionNumeros,94,70,58096
MultiplicacionNumeros,95,70,58864
MultiplicacionNumeros,96,80,58360
MultiplicacionNumeros,97,70,58072
MultiplicacionNumeros,98,80,57848
MultiplicacionNumeros,99,60,57836
MultiplicacionNumeros,100,60,57848
VolumenCubo,1,70,53620
VolumenCubo,2,60,53232
VolumenCubo,3,70,53720
VolumenCubo,4,60,53740
