File,LOC,Vocabulary,Length,Volume,Level,Difficulty,Effort,Faults,Edges,Nodes,Unconnected nodes,CyclomaticNumber,Refactored
DistanciaEuclidiana,9,42,85,458.347,0.078431,12.75,5843.924,0.152782,1,2,0,1,0
MaximoArray,11,42,81,436.7777,0.071429,14.0,6114.888,0.145593,1,2,0,1,0
NumeroPrimo,15,50,100,564.3856,0.052747,18.958333,10699.8107,0.188129,2,2,0,2,0
ContarImpares,11,49,89,499.7092,0.070652,14.153846,7072.8068,0.16657,1,2,0,1,0
CalculoDescuento,9,37,60,312.5672,0.086124,11.611111,3629.2525,0.104189,1,2,0,1,0
Hipotenusa,9,36,63,325.7053,0.093137,10.736842,3497.0461,0.108568,1,2,0,1,0
SumaDigitos,12,38,65,341.1153,0.06746,14.823529,5056.5325,0.113705,1,2,0,1,0
NumeroAleatorio,8,40,78,415.1104,0.078947,12.666667,5258.065,0.13837,1,2,0,1,0
EnergiaPotencial,10,37,63,328.1956,0.098039,10.2,3347.5947,0.109399,1,2,0,1,0
CalculoIVA,9,35,58,297.4984,0.10084,9.916667,2950.1926,0.099166,1,2,0,1,0
Trabajo,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,0
CalculosCirculo,11,37,76,395.9185,0.078431,12.75,5047.9603,0.131973,1,2,0,1,0
AreaCuadrado,8,32,49,245.0,0.098039,10.2,2499.0,0.081667,1,2,0,1,0
VolumenCilindro,9,36,60,310.1955,0.097187,10.289474,3191.7484,0.103399,1,2,0,1,0
NumeroParImpar,11,37,66,343.8239,0.073913,13.529412,4651.7354,0.114608,1,2,0,1,0
DiagonalMatriz,10,45,101,554.6772,0.073529,13.6,7543.6094,0.184892,1,2,0,1,0
ConversionKgLibras,8,34,53,269.6355,0.1,10.0,2696.3553,0.089879,1,2,0,1,0
EnergiaKinetica,9,36,60,310.1955,0.097187,10.289474,3191.7484,0.103399,1,2,0,1,0
ConversionKmMillas,8,34,53,269.6355,0.1,10.0,2696.3553,0.089879,1,2,0,1,0
NumeroMayor,10,38,75,393.5946,0.068966,14.5,5707.1212,0.131198,1,2,0,1,0
BuscarElemento,15,48,93,519.4015,0.064516,15.5,8050.7234,0.173134,2,2,0,2,0
RedondeoNumero,10,39,77,406.976,0.070175,14.25,5799.4076,0.135659,1,2,0,1,0
PerimetroRectangulo,9,35,58,297.4984,0.10084,9.916667,2950.1926,0.099166,1,2,0,1,0
ConversionCelsiusFahrenheit,8,37,59,307.3577,0.09596,10.421053,3202.9913,0.102453,1,2,0,1,0
InteresSimple,10,38,65,341.1153,0.092593,10.8,3684.0451,0.113705,1,2,0,1,0
PerimetroCuadrado,8,33,49,247.1753,0.104575,9.5625,2363.6139,0.082392,1,2,0,1,0
MediaGeometrica,12,45,84,461.3157,0.07619,13.125,6054.768,0.153772,1,2,0,1,0
ValorAbsoluto,8,35,57,292.3691,0.10084,9.916667,2899.3272,0.097456,1,2,0,1,0
ConversionMetrosPies,8,34,53,269.6355,0.1,10.0,2696.3553,0.089879,1,2,0,1,0
VelocidadFinal,10,37,63,328.1956,0.098039,10.2,3347.5947,0.109399,1,2,0,1,0
DivisionNumeros,13,41,82,439.3193,0.07,14.285714,6275.9895,0.14644,1,2,0,1,0
PendienteRecta,9,40,70,372.535,0.08502,11.761905,4381.7208,0.124178,1,2,0,1,0
Presion,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,0
CaidaLibre,9,36,60,310.1955,0.097187,10.289474,3191.7484,0.103399,1,2,0,1,0
ConversionBinario,8,33,54,272.3973,0.10119,9.882353,2691.9261,0.090799,1,2,0,1,0
MultiplicacionNumeros,9,36,62,320.5354,0.093137,10.736842,3441.5374,0.106845,1,2,0,1,0
CoeficienteVariacion,16,54,133,765.4,0.053913,18.548387,14196.9362,0.255133,1,2,0,1,0
