class_name,runs,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_ms,avg_heap_delta_mb,avg_gc_cycles,success_rate_pct
SumaNumeros,1000,26.57,28.00,23.00,37.00,1.44,4.91,0.00,100.0
SumaPares,1000,25.13,26.00,22.00,35.00,1.34,4.91,0.00,100.0
SumaPrimeroN,1000,25.06,24.00,22.00,36.00,1.25,4.91,0.00,100.0
TablasMultiplicar,1000,30.16,29.00,27.00,43.00,1.69,4.91,0.00,100.0
Trabajo,1000,23.72,23.00,21.00,36.00,1.28,4.91,0.00,100.0
TransponerMatriz,1000,23.97,24.00,22.00,34.00,1.19,4.91,0.00,100.0
ValorAbsoluto,1000,25.09,25.00,22.00,41.00,1.40,4.91,0.00,100.0
Varianza,1000,26.77,26.00,24.00,39.00,1.45,4.91,0.00,100.0
VelocidadFinal,1000,23.66,24.00,21.00,33.00,1.20,4.91,0.00,100.0
VolumenCilindro,1000,26.72,28.00,23.00,38.00,1.41,4.91,0.00,100.0
VolumenCono,1000,26.74,26.00,24.00,37.00,1.45,4.91,0.00,100.0
VolumenCubo,1000,23.37,23.00,21.00,34.00,1.23,4.91,0.00,100.0
VolumenEsfera,1000,26.79,27.00,24.00,38.00,1.41,4.91,0.00,100.0
