className,run,durationMs,cpuSamples,heapUsedMB,gcCount,gcPauseMs,topMethod
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,062,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,066,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,075,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,057,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,095,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,036,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,043,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,099,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,040,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,041,5,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,078,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,037,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,059,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,004,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,055,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,010,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,027,12,1,0,0,0,java.lang.Thread.run
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,031,11,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,020,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,048,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,087,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,074,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,023,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,081,1,1,0,0,0,sun.nio.fs.UnixPath.normalizeAndCheck
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,022,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,049,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,093,4,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,077,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,046,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,007,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,091,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,006,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,035,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,034,3,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,063,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,042,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,005,2,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,021,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,013,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.ValorAbsoluto,094,13,1,0,0,0,java.lang.Thread.run
Code.Java.Abacus.v1.Refactored.NumeroPrimo,058,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,065,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,050,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,003,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,098,13,1,0,0,0,java.lang.Thread.run
Code.Java.Abacus.v1.Refactored.NumeroPrimo,082,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,052,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,080,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,088,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,096,4,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,060,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,014,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,001,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,026,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,071,12,1,0,0,0,java.lang.Thread.run
Code.Java.Abacus.v1.Refactored.NumeroPrimo,012,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,056,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,051,7,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,016,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,090,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,030,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,009,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,044,8,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,061,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,017,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,064,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,086,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,085,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,038,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,028,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,070,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,100,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,067,3,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,025,1,1,0,0,0,jdk.internal.org.objectweb.asm.MethodWriter.putMethodInfo
Code.Java.Abacus.v1.Refactored.NumeroPrimo,083,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,053,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,024,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,033,8,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,018,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,019,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,032,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,097,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,068,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,039,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,089,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,029,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,072,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,047,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,076,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,011,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,079,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,092,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,015,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,073,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,084,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,008,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,045,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,069,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,002,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,054,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,062,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,066,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,075,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,057,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,095,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,036,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,043,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,099,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,040,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,041,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,078,6,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,037,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,059,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,004,12,1,0,0,0,java.lang.Thread.run
Code.Java.Abacus.v1.Refactored.NumeroPrimo,055,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,010,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,027,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,031,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,020,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,048,5,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,087,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,074,3,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,023,5,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,081,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,022,4,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,049,12,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,093,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,077,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,046,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,007,5,1,0,0,0,java.lang.Thread.run
Code.Java.Abacus.v1.Refactored.NumeroPrimo,091,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,006,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,035,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,034,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,063,3,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,042,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,005,1,0,0,0,0,N/A
