Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,0,IF-S:,27231666642134,2026-07-03 00:01:20.191.80191.191736192,4054575,3892907
ControlFlows_jmhType,0,IF-I:,27231666909278,2026-07-03 00:01:20.192.80192.192002829,267144,266637
ControlFlows_jmhType,0,IF-F:,27231666951760,2026-07-03 00:01:20.192.80192.192045259,42482,42430
ControlFlows_jmhType,0,IF-S:,27231674407569,2026-07-03 00:01:20.199.80199.199502181,7455809,7456922
ControlFlows_jmhType,0,IF-I:,27231674477050,2026-07-03 00:01:20.199.80199.199570747,69481,68566
ControlFlows_jmhType,0,IF-F:,27231674508570,2026-07-03 00:01:20.199.80199.199601995,31520,31248
ControlFlows_jmhType,0,IF-S:,27231675315779,2026-07-03 00:01:20.200.80200.200409710,807209,807715
ControlFlows_jmhType,0,IF-I:,27231675359231,2026-07-03 00:01:20.200.80200.200452669,43452,42959
ControlFlows_jmhType,0,IF-F:,27231675391288,2026-07-03 00:01:20.200.80200.200484714,32057,32045
ControlFlows_jmhType,0,IF-S:,27231676443443,2026-07-03 00:01:20.201.80201.201537629,1052155,1052915
ControlFlows_jmhType,0,IF-I:,27231676508554,2026-07-03 00:01:20.201.80201.201602194,65111,64565
ControlFlows_jmhType,0,IF-F:,27231676540188,2026-07-03 00:01:20.201.80201.201633614,31634,31420
ControlFlows_jmhType,0,IF-S:,27231678475897,2026-07-03 00:01:20.203.80203.203570645,1935709,1937031
ControlFlows_jmhType,0,IF-I:,27231678574562,2026-07-03 00:01:20.203.80203.203668491,98665,97846
ControlFlows_jmhType,0,IF-F:,27231678647033,2026-07-03 00:01:20.203.80203.203740548,72471,72057
ControlFlows_jmhType,0,IF-S:,27231679732438,2026-07-03 00:01:20.204.80204.204827334,1085405,1086786
ControlFlows_jmhType,0,IF-I:,27231679811500,2026-07-03 00:01:20.204.80204.204905460,79062,78126
ControlFlows_jmhType,0,IF-F:,27231679853898,2026-07-03 00:01:20.204.80204.204947387,42398,41927
ControlFlows_jmhType,0,IF-S:,27231681635198,2026-07-03 00:01:20.206.80206.206729602,1781300,1782215
ControlFlows_jmhType,0,IF-I:,27231681695423,2026-07-03 00:01:20.206.80206.206788842,60225,59240
ControlFlows_jmhType,0,IF-F:,27231681725101,2026-07-03 00:01:20.206.80206.206818508,29678,29666
ControlFlows_jmhType,0,IF-S:,27231682405712,2026-07-03 00:01:20.207.80207.207499529,680611,681021
ControlFlows_jmhType,0,IF-I:,27231682452289,2026-07-03 00:01:20.207.80207.207545715,46577,46186
ControlFlows_jmhType,0,IF-F:,27231682492885,2026-07-03 00:01:20.207.80207.207586418,40596,40703
