Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,7,IF-S:,27234197533940,2026-07-03 00:01:22.722.82722.722628069,3929146,3828162
ControlFlows_jmhType,7,IF-F:,27234197754168,2026-07-03 00:01:22.722.82722.722847708,220228,219639
ControlFlows_jmhType,7,IF-S:,27234204884214,2026-07-03 00:01:22.729.82729.729978796,7130046,7131088
ControlFlows_jmhType,7,IF-F:,27234204981698,2026-07-03 00:01:22.730.82730.730075235,97484,96439
ControlFlows_jmhType,7,IF-S:,27234205893541,2026-07-03 00:01:22.730.82730.730987749,911843,912514
ControlFlows_jmhType,7,IF-F:,27234205987939,2026-07-03 00:01:22.731.82731.731081411,94398,93662
ControlFlows_jmhType,7,IF-S:,27234206694192,2026-07-03 00:01:22.731.82731.731787910,706253,706499
ControlFlows_jmhType,7,IF-F:,27234206772623,2026-07-03 00:01:22.731.82731.731866085,78431,78175
ControlFlows_jmhType,7,IF-S:,27234208565353,2026-07-03 00:01:22.733.82733.733659734,1792730,1793649
ControlFlows_jmhType,7,IF-F:,27234208623622,2026-07-03 00:01:22.733.82733.733717057,58269,57323
ControlFlows_jmhType,7,IF-S:,27234209273285,2026-07-03 00:01:22.734.82734.734367018,649663,649961
ControlFlows_jmhType,7,IF-F:,27234209317322,2026-07-03 00:01:22.734.82734.734410753,44037,43735
ControlFlows_jmhType,7,IF-S:,27234209970164,2026-07-03 00:01:22.735.82735.735064586,652842,653833
ControlFlows_jmhType,7,IF-F:,27234210079387,2026-07-03 00:01:22.735.82735.735173073,109223,108487
ControlFlows_jmhType,7,IF-S:,27234211990105,2026-07-03 00:01:22.737.82737.737085700,1910718,1912627
ControlFlows_jmhType,7,IF-F:,27234212195381,2026-07-03 00:01:22.737.82737.737289482,205276,203782
