Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,1,IF-S:,27232043439689,2026-07-03 00:01:20.568.80568.568534230,5626130,5570180
ControlFlows_jmhType,1,IF-F:,27232043707391,2026-07-03 00:01:20.568.80568.568800962,267702,266732
ControlFlows_jmhType,1,IF-S:,27232050766402,2026-07-03 00:01:20.575.80575.575860904,7059011,7059942
ControlFlows_jmhType,1,IF-F:,27232050822905,2026-07-03 00:01:20.575.80575.575916350,56503,55446
ControlFlows_jmhType,1,IF-S:,27232051530786,2026-07-03 00:01:20.576.80576.576624473,707881,708123
ControlFlows_jmhType,1,IF-F:,27232051570578,2026-07-03 00:01:20.576.80576.576663983,39792,39510
ControlFlows_jmhType,1,IF-S:,27232052460927,2026-07-03 00:01:20.577.80577.577554884,890349,890901
ControlFlows_jmhType,1,IF-F:,27232052505012,2026-07-03 00:01:20.577.80577.577598447,44085,43563
ControlFlows_jmhType,1,IF-S:,27232054012683,2026-07-03 00:01:20.579.80579.579106823,1507671,1508376
ControlFlows_jmhType,1,IF-F:,27232054060446,2026-07-03 00:01:20.579.80579.579153866,47763,47043
ControlFlows_jmhType,1,IF-S:,27232054919773,2026-07-03 00:01:20.580.80580.580013831,859327,859965
ControlFlows_jmhType,1,IF-F:,27232055015279,2026-07-03 00:01:20.580.80580.580108768,95506,94937
ControlFlows_jmhType,1,IF-S:,27232055776602,2026-07-03 00:01:20.580.80580.580870599,761323,761831
ControlFlows_jmhType,1,IF-F:,27232055863751,2026-07-03 00:01:20.580.80580.580957278,87149,86679
ControlFlows_jmhType,1,IF-S:,27232056661990,2026-07-03 00:01:20.581.80581.581755889,798239,798611
ControlFlows_jmhType,1,IF-F:,27232056726017,2026-07-03 00:01:20.581.80581.581819605,64027,63716
