Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,5,IF-S:,27233505651648,2026-07-03 00:01:22.030.82030.030745595,3397035,3346452
ControlFlows_jmhType,5,IF-F:,27233505909568,2026-07-03 00:01:22.031.82031.031003225,257920,257630
ControlFlows_jmhType,5,IF-S:,27233515791685,2026-07-03 00:01:22.040.82040.040886045,9882117,9882820
ControlFlows_jmhType,5,IF-F:,27233515850524,2026-07-03 00:01:22.040.82040.040943947,58839,57902
ControlFlows_jmhType,5,IF-S:,27233516704188,2026-07-03 00:01:22.041.82041.041798146,853664,854199
ControlFlows_jmhType,5,IF-F:,27233516751973,2026-07-03 00:01:22.041.82041.041845386,47785,47240
ControlFlows_jmhType,5,IF-S:,27233517740559,2026-07-03 00:01:22.042.82042.042834955,988586,989569
ControlFlows_jmhType,5,IF-F:,27233517828529,2026-07-03 00:01:22.042.82042.042922009,87970,87054
ControlFlows_jmhType,5,IF-S:,27233519463307,2026-07-03 00:01:22.044.82044.044557583,1634778,1635574
ControlFlows_jmhType,5,IF-F:,27233519518109,2026-07-03 00:01:22.044.82044.044611623,54802,54040
ControlFlows_jmhType,5,IF-S:,27233520463275,2026-07-03 00:01:22.045.82045.045557309,945166,945686
ControlFlows_jmhType,5,IF-F:,27233520533217,2026-07-03 00:01:22.045.82045.045626764,69942,69455
ControlFlows_jmhType,5,IF-S:,27233521439315,2026-07-03 00:01:22.046.82046.046533487,906098,906723
ControlFlows_jmhType,5,IF-F:,27233521508001,2026-07-03 00:01:22.046.82046.046601649,68686,68162
ControlFlows_jmhType,5,IF-S:,27233522125731,2026-07-03 00:01:22.047.82047.047219431,617730,617782
ControlFlows_jmhType,5,IF-F:,27233522194085,2026-07-03 00:01:22.047.82047.047287645,68354,68214
