Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,3,IF-S:,27232752391884,2026-07-03 00:01:21.277.81277.277485785,3362271,3309692
ControlFlows_jmhType,3,IF-F:,27232752630695,2026-07-03 00:01:21.277.81277.277724249,238811,238464
ControlFlows_jmhType,3,IF-S:,27232762219083,2026-07-03 00:01:21.287.81287.287313430,9588388,9589181
ControlFlows_jmhType,3,IF-F:,27232762278702,2026-07-03 00:01:21.287.81287.287372114,59619,58684
ControlFlows_jmhType,3,IF-S:,27232763193868,2026-07-03 00:01:21.288.81288.288287607,915166,915493
ControlFlows_jmhType,3,IF-F:,27232763238600,2026-07-03 00:01:21.288.81288.288332024,44732,44417
ControlFlows_jmhType,3,IF-S:,27232764248275,2026-07-03 00:01:21.289.81289.289342220,1009675,1010196
ControlFlows_jmhType,3,IF-F:,27232764313682,2026-07-03 00:01:21.289.81289.289407187,65407,64967
ControlFlows_jmhType,3,IF-S:,27232766164312,2026-07-03 00:01:21.291.81291.291258241,1850630,1851054
ControlFlows_jmhType,3,IF-F:,27232766214583,2026-07-03 00:01:21.291.81291.291308002,50271,49761
ControlFlows_jmhType,3,IF-S:,27232767154011,2026-07-03 00:01:21.292.81292.292247785,939428,939783
ControlFlows_jmhType,3,IF-F:,27232767198797,2026-07-03 00:01:21.292.81292.292292221,44786,44436
ControlFlows_jmhType,3,IF-S:,27232768038140,2026-07-03 00:01:21.293.81293.293131884,839343,839663
ControlFlows_jmhType,3,IF-F:,27232768080437,2026-07-03 00:01:21.293.81293.293173881,42297,41997
ControlFlows_jmhType,3,IF-S:,27232768835987,2026-07-03 00:01:21.293.81293.293929587,755550,755706
ControlFlows_jmhType,3,IF-F:,27232768890545,2026-07-03 00:01:21.293.81293.293984014,54558,54427
