Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,9,IF-S:,27234887699862,2026-07-03 00:01:23.412.83412.412793828,3431682,3377125
ControlFlows_jmhType,9,IF-F:,27234887931301,2026-07-03 00:01:23.413.83413.413024876,231439,231048
ControlFlows_jmhType,9,IF-S:,27234897567970,2026-07-03 00:01:23.422.83422.422662176,9636669,9637300
ControlFlows_jmhType,9,IF-F:,27234897623999,2026-07-03 00:01:23.422.83422.422717433,56029,55257
ControlFlows_jmhType,9,IF-S:,27234898468198,2026-07-03 00:01:23.423.83423.423561724,844199,844291
ControlFlows_jmhType,9,IF-F:,27234898505546,2026-07-03 00:01:23.423.83423.423598980,37348,37256
ControlFlows_jmhType,9,IF-S:,27234899767076,2026-07-03 00:01:23.424.83424.424860850,1261530,1261870
ControlFlows_jmhType,9,IF-F:,27234899848563,2026-07-03 00:01:23.424.83424.424941978,81487,81128
ControlFlows_jmhType,9,IF-S:,27234901510918,2026-07-03 00:01:23.426.83426.426604818,1662355,1662840
ControlFlows_jmhType,9,IF-F:,27234901562820,2026-07-03 00:01:23.426.83426.426656242,51902,51424
ControlFlows_jmhType,9,IF-S:,27234902528370,2026-07-03 00:01:23.427.83427.427622266,965550,966024
ControlFlows_jmhType,9,IF-F:,27234902579200,2026-07-03 00:01:23.427.83427.427672648,50830,50382
ControlFlows_jmhType,9,IF-S:,27234903465828,2026-07-03 00:01:23.428.83428.428559411,886628,886763
ControlFlows_jmhType,9,IF-F:,27234903511834,2026-07-03 00:01:23.428.83428.428605269,46006,45858
ControlFlows_jmhType,9,IF-S:,27234904395559,2026-07-03 00:01:23.429.83429.429489277,883725,884008
ControlFlows_jmhType,9,IF-F:,27234904456584,2026-07-03 00:01:23.429.83429.429550055,61025,60778
