Clase,ParamN,Etiqueta,TiempoNanos,FechaHora,DuracionNanos,DuracionNanosTime
ControlFlows_jmhType,6,IF-S:,27233853562851,2026-07-03 00:01:22.378.82378.378658070,4078429,4023441
ControlFlows_jmhType,6,IF-I:,27233853946884,2026-07-03 00:01:22.379.82379.379040731,384033,382661
ControlFlows_jmhType,6,IF-F:,27233854039099,2026-07-03 00:01:22.379.82379.379133150,92215,92419
ControlFlows_jmhType,6,IF-S:,27233864221569,2026-07-03 00:01:22.389.82389.389315853,10182470,10182703
ControlFlows_jmhType,6,IF-I:,27233864282554,2026-07-03 00:01:22.389.82389.389376120,60985,60267
ControlFlows_jmhType,6,IF-F:,27233864311275,2026-07-03 00:01:22.389.82389.389404660,28721,28540
ControlFlows_jmhType,6,IF-S:,27233865038536,2026-07-03 00:01:22.390.82390.390132622,727261,727962
ControlFlows_jmhType,6,IF-I:,27233865089596,2026-07-03 00:01:22.390.82390.390183059,51060,50437
ControlFlows_jmhType,6,IF-F:,27233865122206,2026-07-03 00:01:22.390.82390.390215617,32610,32558
ControlFlows_jmhType,6,IF-S:,27233866255628,2026-07-03 00:01:22.391.82391.391350060,1133422,1134443
ControlFlows_jmhType,6,IF-I:,27233866332631,2026-07-03 00:01:22.391.82391.391426663,77003,76603
ControlFlows_jmhType,6,IF-F:,27233866380122,2026-07-03 00:01:22.391.82391.391473668,47491,47005
ControlFlows_jmhType,6,IF-S:,27233867939816,2026-07-03 00:01:22.393.82393.393034335,1559694,1560667
ControlFlows_jmhType,6,IF-I:,27233868025787,2026-07-03 00:01:22.393.82393.393119878,85971,85543
ControlFlows_jmhType,6,IF-F:,27233868057462,2026-07-03 00:01:22.393.82393.393150858,31675,30980
ControlFlows_jmhType,6,IF-S:,27233868949840,2026-07-03 00:01:22.394.82394.394043760,892378,892902
ControlFlows_jmhType,6,IF-I:,27233869029084,2026-07-03 00:01:22.394.82394.394122888,79244,79128
ControlFlows_jmhType,6,IF-F:,27233869077819,2026-07-03 00:01:22.394.82394.394171411,48735,48523
ControlFlows_jmhType,6,IF-S:,27233869775609,2026-07-03 00:01:22.394.82394.394869330,697790,697919
ControlFlows_jmhType,6,IF-I:,27233869825968,2026-07-03 00:01:22.394.82394.394919459,50359,50129
ControlFlows_jmhType,6,IF-F:,27233869868033,2026-07-03 00:01:22.394.82394.394961536,42065,42077
ControlFlows_jmhType,6,IF-S:,27233870425647,2026-07-03 00:01:22.395.82395.395519398,557614,557862
ControlFlows_jmhType,6,IF-I:,27233870480915,2026-07-03 00:01:22.395.82395.395574409,55268,55011
ControlFlows_jmhType,6,IF-F:,27233870535180,2026-07-03 00:01:22.395.82395.395628721,54265,54312
