class_name,language,tool,version,category,param_class,method_name,benchmark_base,metric,Benchmark,Mode,Threads,Samples,Score,score_error,Unit
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,thrpt,1,100,2808.412702,5.282864,ops/ms
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,thrpt,1,100,128.557118,0.241856,MB/sec
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,thrpt,1,100,48.000246,1e-06,B/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,thrpt,1,100,52.0,,counts
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,thrpt,1,100,96.0,,ms
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,avgt,1,100,0.000353,1e-06,ms/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,avgt,1,100,129.566986,0.504389,MB/sec
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,avgt,1,100,48.000244,1e-06,B/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,avgt,1,100,53.0,,counts
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,avgt,1,100,101.0,,ms
