class_name,run_number,execution_time_ms,heap_used_before_mb,heap_used_after_mb,heap_max_mb,gc_count_before,gc_count_after,gc_time_ms_before,gc_time_ms_after,cpu_load_percent,threads_live,exit_code,timestamp
AreaCuadrado,1,18,0.00,4.90,6144.00,0,0,0,0,32.68,8,0,2026-04-17T02:04:51Z
AreaCuadrado,2,9,0.00,4.90,6144.00,0,0,0,0,30.87,8,0,2026-04-17T02:04:52Z
AreaCuadrado,3,8,0.00,4.90,6144.00,0,0,0,0,30.32,8,0,2026-04-17T02:04:52Z
AreaCuadrado,4,8,0.00,4.90,6144.00,0,0,0,0,31.07,8,0,2026-04-17T02:04:52Z
AreaCuadrado,5,8,0.00,4.90,6144.00,0,0,0,0,31.95,8,0,2026-04-17T02:04:52Z
AreaCuadrado,6,8,0.00,4.90,6144.00,0,0,0,0,31.78,8,0,2026-04-17T02:04:52Z
AreaCuadrado,7,9,0.00,4.90,6144.00,0,0,0,0,32.01,8,0,2026-04-17T02:04:53Z
AreaCuadrado,8,8,0.00,4.90,6144.00,0,0,0,0,31.13,8,0,2026-04-17T02:04:53Z
AreaCuadrado,9,8,0.00,4.90,6144.00,0,0,0,0,31.00,8,0,2026-04-17T02:04:53Z
AreaCuadrado,10,8,0.00,4.90,6144.00,0,0,0,0,32.66,8,0,2026-04-17T02:04:53Z
AreaCuadrado,11,8,0.00,4.90,6144.00,0,0,0,0,31.60,8,0,2026-04-17T02:04:53Z
AreaCuadrado,12,10,0.00,4.90,6144.00,0,0,0,0,32.19,8,0,2026-04-17T02:04:53Z
AreaCuadrado,13,8,0.00,4.90,6144.00,0,0,0,0,31.19,8,0,2026-04-17T02:04:53Z
AreaCuadrado,14,9,0.00,4.90,6144.00,0,0,0,0,31.02,8,0,2026-04-17T02:04:53Z
AreaCuadrado,15,9,0.00,4.90,6144.00,0,0,0,0,33.08,8,0,2026-04-17T02:04:53Z
AreaCuadrado,16,8,0.00,4.90,6144.00,0,0,0,0,31.40,8,0,2026-04-17T02:04:53Z
AreaCuadrado,17,8,0.00,4.90,6144.00,0,0,0,0,33.33,8,0,2026-04-17T02:04:53Z
AreaCuadrado,18,8,0.00,4.90,6144.00,0,0,0,0,32.07,8,0,2026-04-17T02:04:53Z
AreaCuadrado,19,8,0.00,4.90,6144.00,0,0,0,0,31.68,8,0,2026-04-17T02:04:53Z
AreaCuadrado,20,8,0.00,4.90,6144.00,0,0,0,0,30.92,8,0,2026-04-17T02:04:53Z
AreaCuadrado,21,9,0.00,4.90,6144.00,0,0,0,0,32.25,8,0,2026-04-17T02:04:53Z
AreaCuadrado,22,8,0.00,4.90,6144.00,0,0,0,0,32.02,8,0,2026-04-17T02:04:53Z
AreaCuadrado,23,8,0.00,4.90,6144.00,0,0,0,0,31.64,8,0,2026-04-17T02:04:54Z
AreaCuadrado,24,9,0.00,4.90,6144.00,0,0,0,0,32.46,8,0,2026-04-17T02:04:54Z
AreaCuadrado,25,8,0.00,4.90,6144.00,0,0,0,0,31.31,8,0,2026-04-17T02:04:54Z
AreaCuadrado,26,8,0.00,4.90,6144.00,0,0,0,0,31.77,8,0,2026-04-17T02:04:54Z
AreaCuadrado,27,7,0.00,4.90,6144.00,0,0,0,0,31.06,8,0,2026-04-17T02:04:54Z
AreaCuadrado,28,8,0.00,4.90,6144.00,0,0,0,0,31.25,8,0,2026-04-17T02:04:54Z
AreaCuadrado,29,9,0.00,4.90,6144.00,0,0,0,0,31.37,8,0,2026-04-17T02:04:54Z
AreaCuadrado,30,8,0.00,4.90,6144.00,0,0,0,0,31.25,8,0,2026-04-17T02:04:54Z
AreaCuadrado,31,8,0.00,4.90,6144.00,0,0,0,0,31.05,8,0,2026-04-17T02:04:54Z
AreaCuadrado,32,9,0.00,4.90,6144.00,0,0,0,0,31.68,8,0,2026-04-17T02:04:54Z
AreaCuadrado,33,9,0.00,4.90,6144.00,0,0,0,0,32.47,8,0,2026-04-17T02:04:54Z
AreaCuadrado,34,8,0.00,4.90,6144.00,0,0,0,0,31.87,8,0,2026-04-17T02:04:54Z
AreaCuadrado,35,9,0.00,4.90,6144.00,0,0,0,0,33.79,8,0,2026-04-17T02:04:54Z
AreaCuadrado,36,8,0.00,4.90,6144.00,0,0,0,0,30.96,8,0,2026-04-17T02:04:54Z
AreaCuadrado,37,9,0.00,4.90,6144.00,0,0,0,0,32.23,8,0,2026-04-17T02:04:54Z
AreaCuadrado,38,9,0.00,4.90,6144.00,0,0,0,0,32.67,8,0,2026-04-17T02:04:54Z
AreaCuadrado,39,8,0.00,4.90,6144.00,0,0,0,0,31.78,8,0,2026-04-17T02:04:55Z
AreaCuadrado,40,8,0.00,4.90,6144.00,0,0,0,0,32.43,8,0,2026-04-17T02:04:55Z
AreaCuadrado,41,8,0.00,4.90,6144.00,0,0,0,0,32.72,8,0,2026-04-17T02:04:55Z
AreaCuadrado,42,8,0.00,4.90,6144.00,0,0,0,0,31.94,8,0,2026-04-17T02:04:55Z
AreaCuadrado,43,8,0.00,4.90,6144.00,0,0,0,0,31.49,8,0,2026-04-17T02:04:55Z
AreaCuadrado,44,9,0.00,4.90,6144.00,0,0,0,0,31.29,8,0,2026-04-17T02:04:55Z
AreaCuadrado,45,9,0.00,4.90,6144.00,0,0,0,0,31.35,8,0,2026-04-17T02:04:55Z
AreaCuadrado,46,8,0.00,4.90,6144.00,0,0,0,0,32.31,8,0,2026-04-17T02:04:55Z
AreaCuadrado,47,8,0.00,4.90,6144.00,0,0,0,0,32.70,8,0,2026-04-17T02:04:55Z
AreaCuadrado,48,8,0.00,4.90,6144.00,0,0,0,0,31.64,8,0,2026-04-17T02:04:55Z
AreaCuadrado,49,8,0.00,4.90,6144.00,0,0,0,0,32.07,8,0,2026-04-17T02:04:55Z
AreaCuadrado,50,9,0.00,4.90,6144.00,0,0,0,0,32.58,8,0,2026-04-17T02:04:55Z
AreaCuadrado,51,8,0.00,4.90,6144.00,0,0,0,0,32.72,8,0,2026-04-17T02:04:55Z
AreaCuadrado,52,9,0.00,4.90,6144.00,0,0,0,0,31.74,8,0,2026-04-17T02:04:55Z
AreaCuadrado,53,9,0.00,4.90,6144.00,0,0,0,0,31.72,8,0,2026-04-17T02:04:55Z
AreaCuadrado,54,8,0.00,4.90,6144.00,0,0,0,0,32.81,8,0,2026-04-17T02:04:55Z
AreaCuadrado,55,9,0.00,4.90,6144.00,0,0,0,0,33.09,8,0,2026-04-17T02:04:56Z
AreaCuadrado,56,8,0.00,4.90,6144.00,0,0,0,0,31.20,8,0,2026-04-17T02:04:56Z
AreaCuadrado,57,8,0.00,4.90,6144.00,0,0,0,0,31.53,8,0,2026-04-17T02:04:56Z
AreaCuadrado,58,8,0.00,4.90,6144.00,0,0,0,0,31.89,8,0,2026-04-17T02:04:56Z
AreaCuadrado,59,9,0.00,4.90,6144.00,0,0,0,0,31.50,8,0,2026-04-17T02:04:56Z
AreaCuadrado,60,8,0.00,4.90,6144.00,0,0,0,0,32.40,8,0,2026-04-17T02:04:56Z
AreaCuadrado,61,8,0.00,4.90,6144.00,0,0,0,0,31.77,8,0,2026-04-17T02:04:56Z
AreaCuadrado,62,8,0.00,4.90,6144.00,0,0,0,0,31.78,8,0,2026-04-17T02:04:56Z
AreaCuadrado,63,8,0.00,4.90,6144.00,0,0,0,0,31.22,8,0,2026-04-17T02:04:56Z
AreaCuadrado,64,8,0.00,4.90,6144.00,0,0,0,0,32.36,8,0,2026-04-17T02:04:56Z
AreaCuadrado,65,8,0.00,4.90,6144.00,0,0,0,0,32.45,8,0,2026-04-17T02:04:56Z
AreaCuadrado,66,8,0.00,4.90,6144.00,0,0,0,0,32.16,8,0,2026-04-17T02:04:56Z
AreaCuadrado,67,8,0.00,4.90,6144.00,0,0,0,0,31.22,8,0,2026-04-17T02:04:56Z
AreaCuadrado,68,8,0.00,4.90,6144.00,0,0,0,0,32.94,8,0,2026-04-17T02:04:56Z
AreaCuadrado,69,8,0.00,4.90,6144.00,0,0,0,0,32.18,8,0,2026-04-17T02:04:56Z
AreaCuadrado,70,8,0.00,4.90,6144.00,0,0,0,0,31.75,8,0,2026-04-17T02:04:56Z
AreaCuadrado,71,9,0.00,4.90,6144.00,0,0,0,0,33.67,8,0,2026-04-17T02:04:56Z
AreaCuadrado,72,9,0.00,4.90,6144.00,0,0,0,0,34.08,8,0,2026-04-17T02:04:57Z
AreaCuadrado,73,9,0.00,4.90,6144.00,0,0,0,0,31.60,8,0,2026-04-17T02:04:57Z
AreaCuadrado,74,8,0.00,4.90,6144.00,0,0,0,0,31.54,8,0,2026-04-17T02:04:57Z
AreaCuadrado,75,8,0.00,4.90,6144.00,0,0,0,0,32.39,8,0,2026-04-17T02:04:57Z
AreaCuadrado,76,8,0.00,4.90,6144.00,0,0,0,0,31.78,8,0,2026-04-17T02:04:57Z
AreaCuadrado,77,8,0.00,4.90,6144.00,0,0,0,0,31.03,8,0,2026-04-17T02:04:57Z
AreaCuadrado,78,8,0.00,4.90,6144.00,0,0,0,0,31.58,8,0,2026-04-17T02:04:57Z
AreaCuadrado,79,8,0.00,4.90,6144.00,0,0,0,0,31.13,8,0,2026-04-17T02:04:57Z
AreaCuadrado,80,8,0.00,4.90,6144.00,0,0,0,0,31.75,8,0,2026-04-17T02:04:57Z
AreaCuadrado,81,8,0.00,4.90,6144.00,0,0,0,0,31.81,8,0,2026-04-17T02:04:57Z
AreaCuadrado,82,8,0.00,4.90,6144.00,0,0,0,0,31.67,8,0,2026-04-17T02:04:57Z
AreaCuadrado,83,8,0.00,4.90,6144.00,0,0,0,0,32.12,8,0,2026-04-17T02:04:57Z
AreaCuadrado,84,8,0.00,4.90,6144.00,0,0,0,0,31.95,8,0,2026-04-17T02:04:57Z
AreaCuadrado,85,9,0.00,4.90,6144.00,0,0,0,0,31.64,8,0,2026-04-17T02:04:57Z
AreaCuadrado,86,8,0.00,4.90,6144.00,0,0,0,0,32.79,8,0,2026-04-17T02:04:57Z
AreaCuadrado,87,8,0.00,4.90,6144.00,0,0,0,0,32.47,8,0,2026-04-17T02:04:57Z
AreaCuadrado,88,9,0.00,4.90,6144.00,0,0,0,0,32.49,8,0,2026-04-17T02:04:58Z
AreaCuadrado,89,8,0.00,4.90,6144.00,0,0,0,0,31.13,8,0,2026-04-17T02:04:58Z
AreaCuadrado,90,8,0.00,4.90,6144.00,0,0,0,0,31.27,8,0,2026-04-17T02:04:58Z
AreaCuadrado,91,8,0.00,4.90,6144.00,0,0,0,0,31.67,8,0,2026-04-17T02:04:58Z
AreaCuadrado,92,8,0.00,4.90,6144.00,0,0,0,0,31.37,8,0,2026-04-17T02:04:58Z
AreaCuadrado,93,8,0.00,4.90,6144.00,0,0,0,0,31.48,8,0,2026-04-17T02:04:58Z
AreaCuadrado,94,9,0.00,4.90,6144.00,0,0,0,0,32.10,8,0,2026-04-17T02:04:58Z
AreaCuadrado,95,8,0.00,4.90,6144.00,0,0,0,0,31.63,8,0,2026-04-17T02:04:58Z
AreaCuadrado,96,8,0.00,4.90,6144.00,0,0,0,0,33.22,8,0,2026-04-17T02:04:58Z
AreaCuadrado,97,8,0.00,4.90,6144.00,0,0,0,0,31.51,8,0,2026-04-17T02:04:58Z
AreaCuadrado,98,8,0.00,4.90,6144.00,0,0,0,0,31.05,8,0,2026-04-17T02:04:58Z
AreaCuadrado,99,8,0.00,4.90,6144.00,0,0,0,0,32.77,8,0,2026-04-17T02:04:58Z
AreaCuadrado,100,8,0.00,4.90,6144.00,0,0,0,0,31.84,8,0,2026-04-17T02:04:58Z
AreaEsfera,1,8,0.00,4.90,6144.00,0,0,0,0,32.02,8,0,2026-04-17T02:04:58Z
AreaEsfera,2,8,0.00,4.90,6144.00,0,0,0,0,32.84,8,0,2026-04-17T02:04:58Z
AreaEsfera,3,8,0.00,4.90,6144.00,0,0,0,0,30.92,8,0,2026-04-17T02:04:58Z
AreaEsfera,4,8,0.00,4.90,6144.00,0,0,0,0,31.57,8,0,2026-04-17T02:04:59Z
AreaEsfera,5,8,0.00,4.90,6144.00,0,0,0,0,32.91,8,0,2026-04-17T02:04:59Z
AreaEsfera,6,8,0.00,4.90,6144.00,0,0,0,0,31.48,8,0,2026-04-17T02:04:59Z
AreaEsfera,7,8,0.00,4.90,6144.00,0,0,0,0,31.39,8,0,2026-04-17T02:04:59Z
AreaEsfera,8,8,0.00,4.90,6144.00,0,0,0,0,31.86,8,0,2026-04-17T02:04:59Z
AreaEsfera,9,8,0.00,4.90,6144.00,0,0,0,0,29.45,8,0,2026-04-17T02:04:59Z
AreaEsfera,10,8,0.00,4.90,6144.00,0,0,0,0,31.35,8,0,2026-04-17T02:04:59Z
AreaEsfera,11,8,0.00,4.90,6144.00,0,0,0,0,32.26,8,0,2026-04-17T02:04:59Z
AreaEsfera,12,8,0.00,4.90,6144.00,0,0,0,0,32.86,8,0,2026-04-17T02:04:59Z
AreaEsfera,13,9,0.00,4.90,6144.00,0,0,0,0,30.54,8,0,2026-04-17T02:04:59Z
AreaEsfera,14,9,0.00,4.90,6144.00,0,0,0,0,31.20,8,0,2026-04-17T02:04:59Z
AreaEsfera,15,8,0.00,4.90,6144.00,0,0,0,0,31.14,8,0,2026-04-17T02:04:59Z
