class_name,runs,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_ms,avg_heap_delta_mb,avg_gc_cycles,success_rate_pct
Presion,100,9.65,11.00,7.00,26.00,2.54,4.90,0.00,100.0
PromedioArray,100,8.45,9.00,8.00,12.00,0.61,4.90,0.00,100.0
PromedioNumeros,100,8.34,8.00,8.00,11.00,0.54,4.90,0.00,100.0
PuntoMedio,100,8.00,7.00,7.00,9.00,0.45,4.90,0.00,100.0
RangoEstadistico,100,8.39,8.00,8.00,10.00,0.51,4.90,0.00,100.0
RedondeoNumero,100,9.68,10.00,9.00,12.00,0.58,4.90,0.00,100.0
RestaNumeros,100,10.22,13.00,9.00,23.00,1.93,4.90,0.00,100.0
SegundosAHoras,100,10.56,10.00,10.00,16.00,0.81,4.90,0.00,100.0
Serie Fibonacci: 0 1 1 2 3 5 8 13 21 34SerieFibonacci,100,10.01,10.00,9.00,12.00,0.50,4.90,0.00,100.0
SumaArray,100,8.43,9.00,8.00,14.00,0.76,4.90,0.00,100.0
SumaDigitos,100,8.37,8.00,8.00,12.00,0.61,4.90,0.00,100.0
SumaImpares,100,9.15,9.00,8.00,11.00,0.48,4.90,0.00,100.0
SumaMatrices,100,8.66,9.00,8.00,10.00,0.55,4.90,0.00,100.0
SumaNumeros,100,10.29,10.00,10.00,12.00,0.48,4.90,0.00,100.0
SumaPares,100,9.29,9.00,8.00,15.00,0.73,4.90,0.00,100.0
SumaPrimeroN,100,9.26,9.00,8.00,14.00,0.71,4.90,0.00,100.0
TablasMultiplicar,100,11.22,11.00,10.00,15.00,0.70,4.90,0.00,100.0
Trabajo,100,8.47,8.00,8.00,10.00,0.56,4.90,0.00,100.0
TransponerMatriz,100,8.71,8.00,8.00,12.00,0.67,4.90,0.00,100.0
ValorAbsoluto,100,9.10,9.00,8.00,11.00,0.46,4.90,0.00,100.0
Varianza,100,8.42,9.00,8.00,11.00,0.55,4.90,0.00,100.0
VelocidadFinal,100,8.54,8.00,8.00,10.00,0.56,4.90,0.00,100.0
VolumenCilindro,100,8.45,8.00,8.00,13.00,0.69,4.90,0.00,100.0
VolumenCono,100,8.40,9.00,7.00,9.00,0.51,4.90,0.00,100.0
VolumenCubo,100,8.47,8.00,8.00,13.00,0.69,4.90,0.00,100.0
VolumenEsfera,100,8.39,8.00,8.00,10.00,0.53,4.90,0.00,100.0
