class_name,runs,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_ms,avg_heap_delta_mb,avg_gc_cycles,success_rate_pct
2 3 5 7 11 13 17 19 23 29 31 37 41 43 47 NumerosPrimos,1000,24.30,24.00,21.00,32.00,1.16,4.91,0.00,100.0
AreaCuadrado,1000,23.20,23.00,20.00,39.00,1.58,4.91,0.00,100.0
AreaEsfera,1000,23.77,23.00,20.00,43.00,1.92,4.91,0.00,100.0
AreaRectangulo,1000,23.58,23.00,21.00,33.00,1.39,4.91,0.00,100.0
AreaTriangulo,1000,23.64,24.00,21.00,37.00,1.53,4.91,0.00,100.0
Array invertido: 5 4 3 2 1 InvertirArray,1000,23.85,25.00,21.00,34.00,1.24,4.91,0.00,100.0
Array multiplicado: 6 12 18 24 30 MultiplicarArray,1000,23.89,24.00,21.00,31.00,1.15,4.91,0.00,100.0
Array ordenado: 1 2 5 8 9 OrdenarArray,1000,24.12,24.00,21.00,32.00,1.19,4.91,0.00,100.0
BuscarElemento,1000,25.75,25.00,23.00,42.00,1.63,4.91,0.00,100.0
CaidaLibre,1000,24.02,22.00,21.00,35.00,1.48,4.91,0.00,100.0
CalculoDescuento,1000,23.71,25.00,21.00,36.00,1.54,4.91,0.00,100.0
CalculoEdad,1000,24.06,23.00,21.00,35.00,1.27,4.91,0.00,100.0
CalculoIMC,1000,23.71,23.00,21.00,35.00,1.42,4.91,0.00,100.0
CalculoIVA,1000,23.69,21.00,21.00,35.00,1.41,4.91,0.00,100.0
CalculoPropina,1000,23.46,27.00,20.00,42.00,1.44,4.91,0.00,100.0
CalculoSalario,1000,23.32,23.00,21.00,36.00,1.32,4.91,0.00,100.0
CalculosCirculo,1000,23.54,24.00,21.00,34.00,1.33,4.91,0.00,100.0
CalculoVelocidad,1000,23.70,24.00,21.00,36.00,1.39,4.91,0.00,100.0
CoeficienteVariacion,1000,23.79,22.00,21.00,33.00,1.28,4.91,0.00,100.0
ContarImpares,1000,23.45,24.00,21.00,36.00,1.38,4.91,0.00,100.0
ContarPares,1000,23.46,24.00,21.00,34.00,1.44,4.91,0.00,100.0
ConversionBinario,1000,25.20,23.00,22.00,35.00,1.34,4.91,0.00,100.0
ConversionCelsiusFahrenheit,1000,22.02,22.00,20.00,30.00,1.10,4.91,0.00,100.0
ConversionFahrenheitCelsius,1000,22.05,22.00,20.00,33.00,1.16,4.91,0.00,100.0
ConversionHexadecimal,1000,25.21,26.00,22.00,33.00,1.33,4.91,0.00,100.0
ConversionKgLibras,1000,21.97,22.00,20.00,33.00,1.16,4.91,0.00,100.0
ConversionKmMillas,1000,22.06,23.00,20.00,28.00,1.11,4.91,0.00,100.0
ConversionMetrosPies,1000,22.12,24.00,20.00,34.00,1.23,4.91,0.00,100.0
ConversionOctal,1000,25.23,25.00,23.00,38.00,1.34,4.91,0.00,100.0
Cuartiles,1000,23.82,24.00,21.00,35.00,1.32,4.91,0.00,100.0
Densidad,1000,23.65,22.00,21.00,36.00,1.24,4.91,0.00,100.0
DesviacionEstandar,1000,23.29,23.00,21.00,32.00,1.20,4.91,0.00,100.0
Diagonal principal: 1 5 9 DiagonalMatriz,1000,23.73,24.00,21.00,31.00,1.18,4.91,0.00,100.0
DiasAAnios,1000,27.90,27.00,25.00,37.00,1.50,4.91,0.00,100.0
DistanciaEuclidiana,1000,23.35,24.00,21.00,32.00,1.23,4.91,0.00,100.0
DivisionNumeros,1000,25.83,30.00,23.00,38.00,1.30,4.91,0.00,100.0
EnergiaKinetica,1000,23.69,24.00,21.00,33.00,1.26,4.91,0.00,100.0
EnergiaPotencial,1000,23.59,24.00,21.00,33.00,1.24,4.91,0.00,100.0
FactorialNumero,1000,26.80,29.00,23.00,41.00,1.54,4.91,0.00,100.0
Fuerza,1000,23.64,24.00,21.00,32.00,1.19,4.91,0.00,100.0
