File,LOC,Vocabulary,Length,Volume,Level,Difficulty,Effort,Faults,Edges,Nodes,Unconnected nodes,CyclomaticNumber,Refactored
ConversionCelsiusFahrenheit,8,37,59,307.3577,0.09596,10.421053,3202.9913,0.102453,1,2,0,1,1
InteresSimple,10,38,65,341.1153,0.092593,10.8,3684.0451,0.113705,1,2,0,1,1
PerimetroCuadrado,14,43,85,461.2325,0.068182,14.666667,6764.7434,0.153744,1,2,0,1,1
MediaGeometrica,21,58,143,837.6913,0.048857,20.467742,17145.649,0.27923,2,2,0,2,1
ValorAbsoluto,8,35,57,292.3691,0.10084,9.916667,2899.3272,0.097456,1,2,0,1,1
ConversionMetrosPies,8,34,53,269.6355,0.1,10.0,2696.3553,0.089879,1,2,0,1,1
VelocidadFinal,10,37,63,328.1956,0.098039,10.2,3347.5947,0.109399,1,2,0,1,1
DivisionNumeros,20,51,124,703.3807,0.049524,20.192308,14202.8804,0.23446,1,2,0,1,1
PendienteRecta,32,65,212,1276.742,0.033551,29.805556,38054.0039,0.425581,2,2,0,2,1
Presion,9,35,56,287.2398,0.10084,9.916667,2848.4618,0.095747,1,2,0,1,1
CaidaLibre,9,36,60,310.1955,0.097187,10.289474,3191.7484,0.103399,1,2,0,1,1
ConversionBinario,26,59,167,982.4014,0.036905,27.096774,26619.9086,0.327467,2,2,0,2,1
MultiplicacionNumeros,13,39,84,443.9738,0.077778,12.857143,5708.2344,0.147991,1,2,0,1,1
CoeficienteVariacion,27,65,192,1156.2946,0.040043,24.972973,28876.1143,0.385432,2,2,0,2,1
