file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Potencia.java,Code.Java.Abacus.v1.Refactored.Potencia,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,2,3,2,3,0,0,0,0,11,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/AreaTriangulo.java,Code.Java.Abacus.v1.Refactored.AreaTriangulo,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,3,3,3,3,0,0,0,0,13,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaImpares.java,Code.Java.Abacus.v1.Refactored.SumaImpares,class,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,2,4,5,1,3,1,0,0,0,15,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/ConversionKmMillas.java,Code.Java.Abacus.v1.Refactored.ConversionKmMillas,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,2,2,2,0,0,0,0,13,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PromedioNumeros.java,Code.Java.Abacus.v1.Refactored.PromedioNumeros,class,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,6,4,2,3,1,0,0,0,13,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Percentil.java,Code.Java.Abacus.v1.Refactored.Percentil,class,2,3,1,2,7,1,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,26,2,0,3,0,2,3,17,8,8,8,1,0,0,0,33,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/ContarPares.java,Code.Java.Abacus.v1.Refactored.ContarPares,class,2,3,1,2,5,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,19,1,1,2,0,0,2,13,3,2,3,2,0,0,0,27,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DistanciaEuclidiana.java,Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana,class,2,3,1,2,5,1,0,4,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,27,2,0,2,0,0,2,4,5,5,5,1,0,1,0,42,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/TransponerMatriz.java,Code.Java.Abacus.v1.Refactored.TransponerMatriz,class,2,3,1,2,8,1,0,4,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,27,1,4,2,0,0,3,10,8,1,7,2,0,0,0,25,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/NumeroPrimo.java,Code.Java.Abacus.v1.Refactored.NumeroPrimo,class,0,0,0,0,5,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,1,0,1,2,4,5,2,3,2,0,0,0,15,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/NumerosPrimos.java,Code.Java.Abacus.v1.Refactored.NumerosPrimos,class,0,0,0,0,5,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,2,1,0,0,3,4,5,3,4,3,0,0,0,18,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios,class,2,3,1,2,3,1,0,3,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,27,1,0,0,0,0,2,3,5,2,5,1,0,1,0,35,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/CalculoPropina.java,Code.Java.Abacus.v1.Refactored.CalculoPropina,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,3,4,4,4,0,0,0,0,14,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/CalculoSalario.java,Code.Java.Abacus.v1.Refactored.CalculoSalario,class,1,2,1,1,5,1,0,3,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,2,0,0,0,0,2,4,5,3,5,1,0,0,0,41,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/InteresSimple.java,Code.Java.Abacus.v1.Refactored.InteresSimple,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,4,4,3,4,0,0,0,0,13,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/CalculosCirculo.java,Code.Java.Abacus.v1.Refactored.CalculosCirculo,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,3,4,4,4,0,0,0,0,14,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/PendienteRecta.java,Code.Java.Abacus.v1.Refactored.PendienteRecta,class,2,3,1,2,6,1,0,4,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,32,1,0,3,1,0,4,5,5,4,5,1,0,1,0,40,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/ConversionCelsiusFahrenheit.java,Code.Java.Abacus.v1.Refactored.ConversionCelsiusFahrenheit,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,4,2,4,2,0,0,0,0,12,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/AreaCuadrado.java,Code.Java.Abacus.v1.Refactored.AreaCuadrado,class,1,2,1,1,3,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0,0,2,2,2,1,2,1,0,0,0,22,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DivisionNumeros.java,Code.Java.Abacus.v1.Refactored.DivisionNumeros,class,1,2,1,1,4,1,0,4,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,1,1,0,3,3,3,2,3,1,0,0,0,32,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Densidad.java,Code.Java.Abacus.v1.Refactored.Densidad,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,2,3,2,3,0,0,0,0,12,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/MCDEuclides.java,Code.Java.Abacus.v1.Refactored.MCDEuclides,class,1,2,1,1,3,1,0,4,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,17,1,1,1,0,0,1,3,8,1,4,1,0,0,0,24,1,0
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/RestaNumeros.java,Code.Java.Abacus.v1.Refactored.RestaNumeros,class,1,2,1,1,2,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,1,2,3,1,3,0,0,0,0,24,1,0
