file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaPares.java,Code.Java.Abacus.v1.Refactored.SumaPares,main/1[java.lang.String[]],false,9,0,0,0,0,2,1,8,0,3,1,1,0,0,1,0,0,0,2,4,5,1,1,0,0,0,8,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,"Tiempo/3[int,int,int]",true,16,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SegundosAHoras.java,Code.Java.Abacus.v1.Refactored.SegundosAHoras$Tiempo,toString/0,false,23,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DistanciaEuclidiana.java,Code.Java.Abacus.v1.Refactored.DistanciaEuclidiana$Punto,"Punto/2[double,double]",true,15,0,2,2,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaNumeros.java,Code.Java.Abacus.v1.Refactored.SumaNumeros,main/1[java.lang.String[]],false,20,1,1,0,1,1,3,6,0,3,1,3,1,1,0,0,0,0,1,2,3,0,0,0,0,0,8,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaNumeros.java,Code.Java.Abacus.v1.Refactored.SumaNumeros,"sumar/2[int,int]",false,16,0,1,1,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/TablasMultiplicar.java,Code.Java.Abacus.v1.Refactored.TablasMultiplicar,main/1[java.lang.String[]],false,9,0,0,0,0,2,1,7,0,2,1,1,0,0,1,0,0,1,4,3,2,3,1,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaArray.java,Code.Java.Abacus.v1.Refactored.SumaArray,calcular/1[int[]],false,13,1,1,1,0,4,0,10,1,1,1,0,0,0,1,2,0,0,1,2,2,0,1,0,0,0,21,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaArray.java,Code.Java.Abacus.v1.Refactored.SumaArray,main/1[java.lang.String[]],false,25,2,1,0,1,1,2,5,0,2,1,2,1,1,0,0,0,0,1,5,2,1,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SumaDigitos.java,Code.Java.Abacus.v1.Refactored.SumaDigitos,main/1[java.lang.String[]],false,9,0,0,0,0,2,1,9,0,2,1,1,0,0,1,1,0,0,1,5,4,2,1,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/MultiplicarArray.java,Code.Java.Abacus.v1.Refactored.MultiplicarArray,"multiplicar/2[int[],int]",false,16,1,1,1,0,3,0,10,1,2,2,0,0,0,1,1,0,0,1,1,3,1,1,0,0,0,28,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/MultiplicarArray.java,Code.Java.Abacus.v1.Refactored.MultiplicarArray,main/1[java.lang.String[]],false,28,2,1,0,1,1,4,7,0,3,1,4,1,1,0,0,0,0,1,6,3,0,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiagonalMatriz.java,Code.Java.Abacus.v1.Refactored.DiagonalMatriz,main/1[java.lang.String[]],false,34,2,1,0,1,1,4,6,0,2,1,4,1,1,0,0,0,0,1,9,2,0,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiagonalMatriz.java,Code.Java.Abacus.v1.Refactored.DiagonalMatriz,extraerDiagonal/1[int[][]],false,15,1,1,1,0,5,0,14,1,3,1,0,0,0,1,3,0,0,2,3,4,0,1,0,0,0,26,9,0,true
