"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: N"
"com.dci.min.v2.ControlFlows.exec:p0.95","sample",1,1,1428.000000,NaN,"ns/op",9
"com.dci.min.v2.ControlFlows.exec:p0.99","sample",1,1,2616.000000,NaN,"ns/op",9
"com.dci.min.v2.ControlFlows.exec:p0.999","sample",1,1,20224.000000,NaN,"ns/op",9
"com.dci.min.v2.ControlFlows.exec:p0.9999","sample",1,1,30963.750400,NaN,"ns/op",9
"com.dci.min.v2.ControlFlows.exec:p1.00","sample",1,1,1501560832.000000,NaN,"ns/op",9
"com.dci.min.v1.ControlFlows.exec","ss",1,5,3347.000000,4910.350891,"ns/op",0
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","ss",1,5,33.194577,20.963699,"MB/sec",0
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,6728.000000,0.000000,"B/op",0
"com.dci.min.v1.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",0
"com.dci.min.v1.ControlFlows.exec","ss",1,5,3300.200000,2306.078283,"ns/op",1
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","ss",1,5,30.978031,30.640961,"MB/sec",1
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,6728.000000,0.000000,"B/op",1
"com.dci.min.v1.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",1
"com.dci.min.v1.ControlFlows.exec","ss",1,5,3169.600000,7676.596259,"ns/op",3
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","ss",1,5,33.829201,36.650096,"MB/sec",3
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,6728.000000,0.000000,"B/op",3
"com.dci.min.v1.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",3
"com.dci.min.v1.ControlFlows.exec","ss",1,5,4981.800000,11465.038139,"ns/op",5
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","ss",1,5,32.538369,41.637604,"MB/sec",5
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,6728.000000,0.000000,"B/op",5
"com.dci.min.v1.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",5
"com.dci.min.v1.ControlFlows.exec","ss",1,5,2320.200000,798.604427,"ns/op",10
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate","ss",1,5,46.221290,9.946372,"MB/sec",10
"com.dci.min.v1.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,6728.000000,0.000000,"B/op",10
"com.dci.min.v1.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",10
"com.dci.min.v2.ControlFlows.exec","ss",1,5,153296.000000,181798.850728,"ns/op",0
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,20.444874,47.956097,"MB/sec",0
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,15190.400000,52216.623564,"B/op",0
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",0
"com.dci.min.v2.ControlFlows.exec","ss",1,5,117277.400000,177726.646673,"ns/op",1
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,24.799897,61.344654,"MB/sec",1
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,13617.600000,45648.569755,"B/op",1
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",1
"com.dci.min.v2.ControlFlows.exec","ss",1,5,222162.600000,190394.385183,"ns/op",2
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,19.522787,42.883256,"MB/sec",2
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,15196.800000,52271.729166,"B/op",2
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",2
"com.dci.min.v2.ControlFlows.exec","ss",1,5,86830.800000,67187.539732,"ns/op",3
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,27.071461,60.152033,"MB/sec",3
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,13619.200000,45662.346179,"B/op",3
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",3
"com.dci.min.v2.ControlFlows.exec","ss",1,5,171935.400000,97036.715151,"ns/op",4
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,21.648716,45.921248,"MB/sec",4
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,15190.400000,52216.623564,"B/op",4
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",4
"com.dci.min.v2.ControlFlows.exec","ss",1,5,120906.800000,110425.033478,"ns/op",5
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,24.204202,52.593712,"MB/sec",5
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,13617.600000,45648.569755,"B/op",5
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",5
"com.dci.min.v2.ControlFlows.exec","ss",1,5,161581.000000,66860.678169,"ns/op",6
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,22.709386,53.182383,"MB/sec",6
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,15188.800000,52202.847163,"B/op",6
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",6
"com.dci.min.v2.ControlFlows.exec","ss",1,5,156991.400000,320121.551011,"ns/op",7
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,26.835037,65.745191,"MB/sec",7
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,13624.000000,45703.675450,"B/op",7
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",7
"com.dci.min.v2.ControlFlows.exec","ss",1,5,128311.400000,199779.552310,"ns/op",8
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,26.133341,56.209007,"MB/sec",8
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,15192.000000,52230.399964,"B/op",8
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",8
"com.dci.min.v2.ControlFlows.exec","ss",1,5,98719.400000,124151.400487,"ns/op",9
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate","ss",1,5,25.433903,54.387575,"MB/sec",9
"com.dci.min.v2.ControlFlows.exec:gc.alloc.rate.norm","ss",1,5,13619.200000,45662.346179,"B/op",9
"com.dci.min.v2.ControlFlows.exec:gc.count","ss",1,5,0.000000,NaN,"counts",9
